2024-06-27T06:02:13.174Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 1 jump-hyperspace  {"gas_usage":"89361","state_root":"0x1c43a288941ce3a21cc7709ad30e431901d50ce69a0f5ebf653afe6b3001f718","expected":"0xfc765813a8b3fe6c3038fa9a5764f34b8ebb3fd0a99426b76d2921653e821774","hash":"0xfe976ab48bf241a21cf3d9fff3266e21bc8d0a32d409867b60168db833b6af0b"}
2024-06-27T06:02:15.986Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 2 jump-hyperspace  {"gas_usage":"89373","state_root":"0x632e77bf07a6ea4542dd5c57d76ceaa7979f9cd00dc061da1bd4622f6342496b","expected":"0x94dd109614191238694ebb61d210f1f55dd8c51d97bd5723ea8a21108ab493a4","hash":"0x87ee8e489b4e2ac4ef4eb77a62d026c77b44208e4eba95c1de8bb7ac5b3b6e9a"}
2024-06-27T06:02:19.127Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 3 not-jump-hyperspace  {"gas_usage":"23853","state_root":"0xac666b5940d1c3258106f5a87134bc173e10cfd1fb05bcaa104bc8942a082e3b","expected":"0x1e1a2d2babc8c34fe45f7957e5a756505fbca2d43708d4c69ba5b600f0b4e392","hash":"0x04f127ec1cc3e4f260e3a3c97d8e78099ffa8a817e7cd3fbbdd2af526c1b28cd"}
2024-06-27T06:02:22.248Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 4 not-jump-hyperspace  {"gas_usage":"89373","state_root":"0x632e77bf07a6ea4542dd5c57d76ceaa7979f9cd00dc061da1bd4622f6342496b","expected":"0x94dd109614191238694ebb61d210f1f55dd8c51d97bd5723ea8a21108ab493a4","hash":"0x00fbe2c73f325f1e8c5d6d9452cfe103bddd541b2674b9f1e1b235c2d20e6c75"}
2024-06-27T06:02:23.881Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 5 jump-stop-dest  {"gas_usage":"89373","state_root":"0x632e77bf07a6ea4542dd5c57d76ceaa7979f9cd00dc061da1bd4622f6342496b","expected":"0x94dd109614191238694ebb61d210f1f55dd8c51d97bd5723ea8a21108ab493a4","hash":"0x92e9c6eb250b9af7fed5d6adb2545defdb37e495de272e22fdea990226d28303"}
2024-06-27T06:05:44.342Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 13 jump-dynamic  {"gas_usage":"89373","state_root":"0x632e77bf07a6ea4542dd5c57d76ceaa7979f9cd00dc061da1bd4622f6342496b","expected":"0x94dd109614191238694ebb61d210f1f55dd8c51d97bd5723ea8a21108ab493a4","hash":"0x69159ba364e52afd0a73ea9e5c773076cf0a6505b98dda91be5fa04ccf20bdce"}
2024-06-27T06:09:38.604Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 22 not-jump-hyperspace  {"gas_usage":"45961","state_root":"0xfb8c027bde1cdab77638208fc9a2cdb4f8128172be3c10c0c4ddda58dec67e62","expected":"0x0a5535e6abf0cb985930f84e08fb5c5e45ef87f9c2dfff7c7c3fe2a83b457ef4","hash":"0x5ea2b695cbb88bfedaf0d10f2d3de56657b635f718fad00dc37db8199ed5473d"}
2024-06-27T06:09:41.597Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 23 jump-hyperspace  {"gas_usage":"45961","state_root":"0xfb8c027bde1cdab77638208fc9a2cdb4f8128172be3c10c0c4ddda58dec67e62","expected":"0x0a5535e6abf0cb985930f84e08fb5c5e45ef87f9c2dfff7c7c3fe2a83b457ef4","hash":"0xcaa0456c02dcdab421e4bffa9506d06a93569888945d31dd6e2c11b66654e1b6"}
2024-06-27T06:09:44.775Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 24 not-jump-hyperspace  {"gas_usage":"45981","state_root":"0x4c37add15e4323ce4a79e692453f1ee47aefb72789b657a178405e9190765932","expected":"0xe4644b019ef3bb7e5a7bea989f7e73a5509928975d14c7013d9411327937a502","hash":"0xbc81a9229a4a681054ebc15fcf827fdaf520ddca06f36c25a7b535e127e307fd"}
2024-06-27T06:09:46.498Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 25 jump-to-list  {"gas_usage":"45966","state_root":"0x180b533f5f20220f21d0aececdf6b1765c31a57de5d1c875df52945e58a5cfe1","expected":"0xbe96f0580d3f79d26bd4fac312559c47f8fd8877be7e77ee1bb0259a1149668b","hash":"0x15e746b62f3a44cd3eee3efebe6bac13d2488ede874221a9cf1acec9b66b5b1c"}
2024-06-27T06:09:49.449Z [FAILED] ethereum-tests/GeneralStateTests/VMTests/vmIOandFlowOperations/jumpi.json 26 loop  {"gas_usage":"89373","state_root":"0x632e77bf07a6ea4542dd5c57d76ceaa7979f9cd00dc061da1bd4622f6342496b","expected":"0x75eb445c547cb27dc39dc0b965c21f439bb2014238d2cb65f7b233a828dc205d","hash":"0x2856454a3c78d06cca3c645142539ecd8f4e286a2213cc7435db41f87500ef66"}
