ethereum-tests/GeneralStateTests/Pyspecs/shanghai/eip3651_warm_coinbase/warm_coinbase_gas_usage.json
2024-07-04T07:31:03.466Z [SKIP] 55,8 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-BALANCE] No Cancun post state found
2024-07-04T07:31:03.467Z [SKIP] 55,9 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-CALLCODE] No Cancun post state found
2024-07-04T07:31:03.468Z [SKIP] 55,10 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-CALL] No Cancun post state found
2024-07-04T07:31:03.468Z [SKIP] 55,11 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-DELEGATECALL] No Cancun post state found
2024-07-04T07:31:03.468Z [SKIP] 55,12 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-EXTCODECOPY] No Cancun post state found
2024-07-04T07:31:03.468Z [SKIP] 55,13 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-EXTCODEHASH] No Cancun post state found
2024-07-04T07:31:03.469Z [SKIP] 55,14 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-EXTCODESIZE] No Cancun post state found
2024-07-04T07:31:03.469Z [SKIP] 55,15 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Paris-state_test-STATICCALL] No Cancun post state found
2024-07-04T07:31:03.469Z [SKIP] 55,16 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-BALANCE] No Cancun post state found
2024-07-04T07:31:03.469Z [SKIP] 55,17 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-CALLCODE] No Cancun post state found
2024-07-04T07:31:03.469Z [SKIP] 55,18 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-CALL] No Cancun post state found
2024-07-04T07:31:03.470Z [SKIP] 55,19 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-DELEGATECALL] No Cancun post state found
2024-07-04T07:31:03.470Z [SKIP] 55,20 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-EXTCODECOPY] No Cancun post state found
2024-07-04T07:31:03.470Z [SKIP] 55,21 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-EXTCODEHASH] No Cancun post state found
2024-07-04T07:31:03.470Z [SKIP] 55,22 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-EXTCODESIZE] No Cancun post state found
2024-07-04T07:31:03.471Z [SKIP] 55,23 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Shanghai-state_test-STATICCALL] No Cancun post state found
2024-07-04T07:31:08.063Z [ERROR] 55,0 src/GeneralStateTestsFiller/Pyspecs/shanghai/eip3651_warm_coinbase/test_warm_coinbase.py::test_warm_coinbase_gas_usage[fork_Cancun-state_test-BALANCE] 1/1 data:0,gas:0,value:0  {"error":"Move abort in 0x1::simple_map: EKEY_NOT_FOUND(0x10002): Map key is not found","hash":"0x43976691db714b9dc1e4e57026a64204bb92569c220a7f43d2caa84b68152d4a","expected":"0xa9b2c38750667c7bdc695e8e886519cc885f764d08acaf995c7b134afbf3cea4"}
